,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
2427,Maria Grace Uy,,54,"telecom, Self Made",,,"Angeles, Philippines",Philippines,Married,,"Bachelor of Science, De La Salle University","https://imageio.forbes.com/specials-images/imageserve/624613880e3b1fdbd242f667/0x0.jpg?format=jpg&crop=1994,1994,x35,y35,safe&height=416&width=416&fit=bounds",$1.3B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/maria-grace-uy/?list=billionaires
2428,Wim van der Leegte,,74,manufacturing,,,"Eindhoven, Netherlands",Netherlands,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5c7155944bbe6f79c54746ae/0x0.jpg?format=jpg&crop=1048,1047,x376,y0,safe&height=416&width=416&fit=bounds",$1.4B,$1.2B,,,,,,,,,,,,,,,,,$2.1B,$1.3B,$1.2B,$1.5B,$1.3B,$1.1B,$2.6B,$1.2B,,https://www.forbes.com/profile/wim-van-der-leegte/?list=billionaires
2429,Thongma Vijitpongpun,,64,"real estate, Self Made",,,"Bangkok, Thailand",Thailand,Married,1,,"https://imageio.forbes.com/specials-images/imageserve/5af9bd6031358e612fb8f036/0x0.jpg?format=jpg&crop=630,629,x130,y258,safe&height=416&width=416&fit=bounds",$1.2B,$1.2B,,,,,,,,,,,,,,,$2B,$1.2B,$1.7B,$1.3B,$1.3B,$1.5B,$1.3B,,$1.2B,$1.2B,"I don't know where to spend cash. I'm usually working in the office.
",https://www.forbes.com/profile/thongma-vijitpongpun/?list=billionaires
2430,Jianfeng Wang & family,,,"auto parts, Self Made",,,"Ningbo, China",China,,,,,,$1.2B,,,,,,,,,,,,,,,,$1B,$1B,$1.5B,$1.2B,$1.4B,$1.1B,$1.4B,$1.4B,$1.2B,,https://www.forbes.com/profile/jianfeng-wang/?list=billionaires
2431,Wang Jilei,,57,"logistics, Self Made",,,"Shanghai, China",China,,,,,$1.4B,$1.2B,,,,,,,,,,,,,,,,,,,,,,$1.4B,$1.9B,$1.2B,,https://www.forbes.com/profile/wang-jilei/?list=billionaires
2432,Wang Junmin,,53,"pharmaceuticals, Self Made",,,"Chengdu, China",China,Married,,,"https://imageio.forbes.com/specials-images/imageserve/54dcf13d6e09b4de072553c3ba7bf5d6/0x0.jpg?format=jpg&crop=741,741,x3,y3,safe&height=416&width=416&fit=bounds",$1.1B,$1.2B,,,,,,,,,,,,,,,$1.1B,$1.7B,$1.5B,$1B,$1B,,,$1.3B,$1.7B,$1.2B,,https://www.forbes.com/profile/wang-junmin/?list=billionaires
2433,Wang Kunxiao,,52,"oilfield equipment, Self Made",,,"Yantai, China",China,,,,,,$1.2B,,,,,,,,,,,,,,,,$1.4B,,,,,,,$1.1B,$1.2B,,https://www.forbes.com/profile/wang-kunxiao/?list=billionaires
2434,Wang Zhentao & family,,57,"vaccine & shoes, Self Made",,,"Wenzhou, China",China,Married,2,,https://imageio.forbes.com/i-forbesimg/media/lists/people/wang-zhentao_416x416.jpg?format=jpg&height=416&width=416&fit=bounds,,$1.2B,,,,,,,,,,,,,,,,,,,,,,,$1.5B,$1.2B,,https://www.forbes.com/profile/wang-zhentao/?list=billionaires
2435,J. Wayne Weaver,,86,"Shoes, Self Made",,,"Jacksonville, Florida",United States,Married,2,"Bachelor of Science, University of Florida",https://imageio.forbes.com/specials-images/imageserve/5695241ce4b0ed854f52466a/0x0.jpg?format=jpg&height=416&width=416&fit=bounds,$1.2B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,$1B,$1.2B,,https://www.forbes.com/profile/j-wayne-weaver/?list=billionaires
2436,Weng Xianding,,60,"medical devices, Self Made",,,"Shenzhen, China",China,,,,,$1.2B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,$2.1B,$1.2B,,https://www.forbes.com/profile/weng-xianding/?list=billionaires
2437,Horst Wortmann,,81,"footwear, Self Made",,,"Detmold, Germany",Germany,Married,,,"https://imageio.forbes.com/specials-images/imageserve/5a7e182aa7ea431690132282/0x0.jpg?format=jpg&crop=760,759,x99,y82,safe&height=416&width=416&fit=bounds",$1.1B,$1.2B,,,,,,,,,,,,,,,,,$1.3B,$1.2B,$2B,$1.9B,$1.7B,,$2B,$1.2B,,https://www.forbes.com/profile/horst-wortmann/?list=billionaires
2438,Wu Chung-yi,,66,manufacturing,,,"Chang Hwa County, Taiwan",Taiwan,,,"University of California, Los Angeles","https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$1.2B,$1.2B,,,,,,,,,,,,,,,$1B,$1B,$1.1B,$1B,$1B,$1B,$1B,$1B,$1.1B,$1.2B,,https://www.forbes.com/profile/wu-chung-yi/?list=billionaires
2439,Wu Li-gann,,81,"electronic components, Self Made",,,"Kaohsiung, Taiwan",Taiwan,Married,,"Bachelor of Arts/Science, Tunghai University","https://imageio.forbes.com/specials-images/imageserve/609327566ac1b77d88cb9a78/0x0.jpg?format=jpg&crop=799,799,x1,y1,safe&height=416&width=416&fit=bounds",$1.2B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,$1.2B,$1.2B,,https://www.forbes.com/profile/wu-li-gann/?list=billionaires
2440,Wu Peifu & family,,60,"plastic, Self Made",,,"Suqian, China",China,Married,1,,,,$1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/wu-peifu/?list=billionaires
2441,Xiu Laigui,,67,"pharmaceuticals, Self Made",,,"Tonghua, China",China,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/5a7d1414a7ea431690130e10/0x0.jpg?format=jpg&crop=1765,1764,x367,y496,safe&height=416&width=416&fit=bounds",$1.2B,$1.2B,,,,,,,,,,,,,$1.1B,$1.1B,,,$1.4B,$1B,$1.1B,$1.2B,$1.2B,$1.3B,$1.6B,$1.2B,,https://www.forbes.com/profile/xiu-laigui/?list=billionaires
2442,Yeh Kuo-I,,81,"manufacturing, Self Made",,,,Taiwan,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$1.2B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,$1.3B,$1.2B,,https://www.forbes.com/profile/yeh-kuo-i/?list=billionaires
2443,Faxiang Yu,,50,"tourism, cultural industry, Self Made",,,"Shaoxing, China",China,,,,,$1.2B,$1.2B,,,,,,,,,,,,,,,,,,,,,,$1.5B,$1.1B,$1.2B,,https://www.forbes.com/profile/faxiang-yu/?list=billionaires
2444,Zeng Chaolin,,39,Aluminium,,,"Yongzhou, China",China,,,,,,$1.2B,,,,,,,,,,,,,,,,,,,,,,,$1.5B,$1.2B,,https://www.forbes.com/profile/zeng-chaolin-1/?list=billionaires
2445,Zhang Tianyu,,54,"telecommunications, Self Made",,,"Shenzhen, China",China,,,,,,$1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/zhang-tianyu/?list=billionaires
2446,Shusheng Zheng,,56,"telecom, Self Made",,,"Hangzhou, China",China,,,"Doctorate, Zhejiang University","https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",,$1.2B,,,,,,,,,,,,,,,,,,,,,,$1.5B,$1.4B,$1.2B,,https://www.forbes.com/profile/shusheng-zheng-1/?list=billionaires
2447,A. Jayson Adair,,52,"damaged cars, Self Made",,,"Dallas, Texas",United States,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/5fb529400560bf6784deea95/0x0.jpg?format=jpg&crop=475,476,x887,y707,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$1B,$1.1B,,https://www.forbes.com/profile/a-jayson-adair/?list=billionaires
