,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
0,Elon Musk,"CEO, Tesla",50,"Tesla, SpaceX, Self Made",8,1,"Austin, Texas",United States,Single,7,"Bachelor of Arts/Science, University of Pennsylvania","https://imageio.forbes.com/specials-images/imageserve/5f47d4de7637290765bce495/0x0.jpg?format=jpg&crop=2146,2145,x1699,y559,safe&height=416&width=416&fit=bounds",$225.5B,$219B,,,,,,,,,,,,,,,$2.7B,$8.4B,$12B,$10.7B,$13.9B,$19.9B,$22.3B,$24.6B,$151B,$219B,I operate on the physics approach to analysis. You boil things down to the first principles or fundamental truths in a particular area and then you reason up from there.,https://www.forbes.com/profile/elon-musk/?list=billionaires
1,Jeff Bezos,"Chairman and Founder, Amazon",58,"Amazon, Self Made",8,1,"Seattle, Washington",United States,In Relationship,4,"Bachelor of Arts/Science, Princeton University","https://imageio.forbes.com/specials-images/imageserve/5bb22ae84bbe6f67d2e82e05/0x0.jpg?format=jpg&crop=1012,1013,x627,y129,safe&height=416&width=416&fit=bounds",$147.4B,$171B,,,,,,,,,,,,,,,$25.2B,$32B,$34.8B,$45.2B,$72.8B,$112B,$131B,$113B,$177B,$171B,I didn't think I'd regret trying and failing. And I suspected I would always be haunted by a decision to not try at all.,https://www.forbes.com/profile/jeff-bezos/?list=billionaires
2,Bernard Arnault & family,"Chairman and CEO, LVMH Moët Hennessy Louis Vuitton",73,LVMH,,,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris","https://imageio.forbes.com/specials-images/imageserve/5dc05518ca425400079c659f/0x0.jpg?format=jpg&crop=4000,4003,x0,y1209,safe&height=416&width=416&fit=bounds",$154.9B,$158B,,,,,,,,,,,,,,,$29B,$33.5B,$37.2B,$34B,$41.5B,$72B,$76B,$76B,$150B,$158B,"I see myself as an ambassador of French heritage and French culture. What we create is emblematic. It's linked to Versailles, to Marie Antoinette.",https://www.forbes.com/profile/bernard-arnault/?list=billionaires
3,Bill Gates,"Cofounder, Bill & Melinda Gates Foundation",66,"Microsoft, Self Made",8,4,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University","https://imageio.forbes.com/specials-images/imageserve/5f4ebe0c87612dab4f12a597/0x0.jpg?format=jpg&crop=3392,3395,x292,y592,safe&height=416&width=416&fit=bounds",$127.7B,$129B,,,,,,,,,,,,,,,$67B,$76B,$79.2B,$75B,$86B,$90B,$96.5B,$98B,$124B,$129B,Money has no utility to me beyond a certain point. Its utility is entirely in building an organization and getting the resources out to the poorest in the world.,https://www.forbes.com/profile/bill-gates/?list=billionaires
4,Warren Buffett,"CEO, Berkshire Hathaway",91,"Berkshire Hathaway, Self Made",8,5,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln","https://imageio.forbes.com/specials-images/imageserve/5babb7f1a7ea4342a948b79a/0x0.jpg?format=jpg&crop=2327,2329,x748,y1753,safe&height=416&width=416&fit=bounds",$113.1B,$118B,,,,,,,,,,,,,,,$53.5B,$58.2B,$72.7B,$60.8B,$75.6B,$84B,$82.5B,$67.5B,$96B,$118B,Rational people don't risk what they have and need for what they don't have and don't need.,https://www.forbes.com/profile/warren-buffett/?list=billionaires
5,Larry Page,"Cofounder and board member, Alphabet",49,"Google, Self Made",8,1,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan","https://imageio.forbes.com/specials-images/imageserve/5c76bcaaa7ea43100043c836/0x0.jpg?format=jpg&crop=1795,1795,x227,y22,safe&height=416&width=416&fit=bounds",$98.1B,$111B,,,,,,,,,,,,,,,$23B,$32.3B,$29.7B,$35.2B,$40.7B,$48.8B,$50.8B,$50.9B,$91.5B,$111B,You never lose a dream; it just incubates as a hobby.,https://www.forbes.com/profile/larry-page/?list=billionaires
6,Sergey Brin,"Cofounder and board member, Alphabet",48,"Google, Self Made",9,1,"Los Altos, California",United States,Married,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park","https://imageio.forbes.com/specials-images/imageserve/5c7d7c254bbe6f78090d831f/0x0.jpg?format=jpg&crop=2412,2414,x475,y168,safe&height=416&width=416&fit=bounds",$94.3B,$107B,,,,,,,,,,,,,,,$22.8B,$31.8B,$29.2B,$34.4B,$39.8B,$47.5B,$49.8B,$49.1B,$89B,$107B,"Obviously everyone wants to be successful, but I want to be looked back on as being very innovative, very trusted and ethical and ultimately making a big difference in the world.",https://www.forbes.com/profile/sergey-brin/?list=billionaires
7,Larry Ellison,"CTO and Founder, Oracle",77,"software, Self Made",9,1,"Lanai, Hawaii",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign","https://imageio.forbes.com/specials-images/imageserve/5e8b62cfc095010007bffea0/0x0.jpg?format=jpg&crop=4529,4532,x0,y652,safe&height=416&width=416&fit=bounds",$98.6B,$106B,,,,,,,,,,,,,,,$43B,$48B,$54.3B,$43.6B,$52.2B,$58.5B,$62.5B,$59B,$93B,$106B,"When people start telling you that you're crazy, you just might be on to the most important innovation in your life.",https://www.forbes.com/profile/larry-ellison/?list=billionaires
8,Steve Ballmer,"Owner, Los Angeles Clippers",66,"Microsoft, Self Made",6,2,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University","https://imageio.forbes.com/specials-images/imageserve/59d50c47a7ea436b47b36d66/0x0.jpg?format=jpg&crop=2387,2386,x553,y322,safe&height=416&width=416&fit=bounds",$89.3B,$91.4B,,,,,,,,,,,,,,,$15.2B,$19.3B,$21.5B,$23.5B,$30B,$38.4B,$41.2B,$52.7B,$68.7B,$91.4B,Computer science is the operating system for all innovation.,https://www.forbes.com/profile/steve-ballmer/?list=billionaires
9,Mukesh Ambani,"Founder and Chairman, Reliance Industries",65,diversified,,,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai","https://imageio.forbes.com/specials-images/imageserve/5c7d7829a7ea434b351ba0b6/0x0.jpg?format=jpg&crop=1837,1839,x206,y250,safe&height=416&width=416&fit=bounds",$98B,$90.7B,,,,,,,,,,,,,,,$21.5B,$18.6B,$21B,$19.3B,$23.2B,$40.1B,$50B,$36.8B,$84.5B,$90.7B,Anything and everything that can go digital is going digital. India cannot afford to be left behind.,https://www.forbes.com/profile/mukesh-ambani/?list=billionaires
10,Gautam Adani & family,,59,"infrastructure, commodities, Self Made",,,"Ahmedabad, India",India,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/59cd4d61a7ea434a34f47b11/0x0.jpg?format=jpg&crop=3240,3240,x891,y69,safe&height=416&width=416&fit=bounds",$99.1B,$90B,,,,,,,,,,,,,,,,,,$3.5B,$5.8B,$9.7B,$8.7B,$8.9B,$50.5B,$90B,Being an entrepreneur is my dream job as it tests ones tenacity. I could never take orders from anyone.,https://www.forbes.com/profile/gautam-adani-1/?list=billionaires
11,Michael Bloomberg,"CEO, Bloomberg L.P.",80,"Bloomberg LP, Self Made",8,4,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University","https://imageio.forbes.com/specials-images/imageserve/5c76b4104bbe6f24ad99c35d/0x0.jpg?format=jpg&crop=5448,5448,x165,y321,safe&height=416&width=416&fit=bounds",$82B,$82B,,,,,,,,,,,,,,,$27B,$33B,$35.5B,$40B,$47.5B,$50B,$55.5B,$48B,$59B,$82B,Organizations resist innovation and those that do inevitably fail because people are more comfortable with what they know than with what they don't.,https://www.forbes.com/profile/michael-bloomberg/?list=billionaires
12,Carlos Slim Helu & family,"Honorary Chairman, América Móvil",82,"telecom, Self Made",,,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico","https://imageio.forbes.com/specials-images/imageserve/5c76ba144bbe6f24ad99c613/0x0.jpg?format=jpg&crop=3005,3006,x0,y389,safe&height=416&width=416&fit=bounds",$90.9B,$81.2B,,,,,,,,,,,,,,,$73B,$72B,$77.1B,$50B,$54.5B,$67.1B,$64B,$52.1B,$62.8B,$81.2B,"When you live for others' opinions, you are dead. I don't want to live thinking about how I'll be remembered.",https://www.forbes.com/profile/carlos-slim-helu/?list=billionaires
13,Francoise Bettencourt Meyers & family,,68,L'Oréal,,,"Paris, France",France,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/605e26e3c65f7c2596bd3e15/0x0.jpg?format=jpg&crop=1080,1080,x0,y0,safe&height=416&width=416&fit=bounds",$69.8B,$74.8B,,,,,,,,,,,,,,,,,,,,$42.2B,$49.3B,$48.9B,$73.6B,$74.8B,,https://www.forbes.com/profile/francoise-bettencourt-meyers/?list=billionaires
14,Mark Zuckerberg,"Cofounder, Meta Platforms",38,"Facebook, Self Made",8,2,"Palo Alto, California",United States,Married,2,"Drop Out, Harvard University","https://imageio.forbes.com/specials-images/imageserve/5c76b7d331358e35dd2773a9/0x0.jpg?format=jpg&crop=4401,4401,x0,y0,safe&height=416&width=416&fit=bounds",$67.7B,$67.3B,,,,,,,,,,,,,,,$13.3B,$28.5B,$33.4B,$44.6B,$56B,$71B,$62.3B,$54.7B,$97B,$67.3B,"We may not have the power to create the world we want immediately, but we can all start working on the long term today.",https://www.forbes.com/profile/mark-zuckerberg/?list=billionaires
15,Jim Walton,"Chairman and CEO, Arvest Bank Group, Inc.",73,Walmart,2,1,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas","https://imageio.forbes.com/specials-images/imageserve/5c7ef2fea7ea434b351bca5a/0x0.jpg?format=jpg&crop=885,886,x49,y65,safe&height=416&width=416&fit=bounds",$60.1B,$66.2B,,,,,,,,,,,,,,,$26.7B,$34.7B,$40.6B,$33.6B,$34B,$46.4B,$44.6B,$54.6B,$60.2B,$66.2B,,https://www.forbes.com/profile/jim-walton/?list=billionaires
16,Zhong Shanshan,,67,"beverages, pharmaceuticals, Self Made",,,"Hangzhou, China",China,,,,"https://imageio.forbes.com/specials-images/imageserve/60380e390357bc1fbfc0bc32/0x0.jpg?format=jpg&crop=1211,1212,x116,y201,safe&height=416&width=416&fit=bounds",$65.6B,$65.7B,,,,,,,,,,,,,,,,,,,,,$1.8B,$2B,$68.9B,$65.7B,,https://www.forbes.com/profile/zhong-shanshan/?list=billionaires
17,Alice Walton,"Chairman, Crystal Bridges Museum of American Art",72,Walmart,1,2,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University","https://imageio.forbes.com/specials-images/imageserve/5c7ef270a7ea434b351bca52/0x0.jpg?format=jpg&crop=766,766,x232,y222,safe&height=416&width=416&fit=bounds",$59.2B,$65.3B,,,,,,,,,,,,,,,$26.3B,$34.3B,$39.4B,$32.3B,$33.8B,$46B,$44.4B,$54.4B,$61.8B,$65.3B,,https://www.forbes.com/profile/alice-walton/?list=billionaires
18,Rob Walton,"Director, Walmart",77,Walmart,4,1,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas","https://imageio.forbes.com/specials-images/imageserve/59d50a9e4bbe6f37dd9ff712/0x0.jpg?format=jpg&crop=1597,1598,x244,y60,safe&height=416&width=416&fit=bounds",$59B,$65B,,,,,,,,,,,,,,,$26.1B,$34.2B,$39.1B,$31.9B,$34.1B,$46.2B,$44.3B,$54.1B,$59.5B,$65B,,https://www.forbes.com/profile/rob-walton/?list=billionaires
19,Changpeng Zhao,,44,"cryptocurrency exchange, Self Made",,,"Singapore, Singapore",Canada,,,,"https://imageio.forbes.com/specials-images/imageserve/61115ac5b4c5d23845419c4e/0x0.jpg?format=jpg&crop=911,911,x0,y0,safe&height=416&width=416&fit=bounds",$17.4B,$65B,,,,,,,,,,,,,,,,,,,,$1.4B,$1.2B,,$1.9B,$65B,"We need to respect the market, with a level of caution too. It goes up and down in cycles. And especially the fact that it doesn?t always make sense.",https://www.forbes.com/profile/changpeng-zhao/?list=billionaires
20,Charles Koch,"Founder, Americans for Prosperity",86,Koch Industries,5,2,"Wichita, Kansas",United States,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology","https://imageio.forbes.com/specials-images/imageserve/615c94bd2aac2936a52682d1/0x0.jpg?format=jpg&crop=562,562,x286,y110,safe&height=416&width=416&fit=bounds",$63.4B,$60B,,,,,,,,,,,,,,,$34B,$40B,$42.9B,$39.6B,$48.3B,$60B,$50.5B,$38.2B,$46.4B,$60B,"For business to survive over a long period, it needs to be contributing to society and people's well-being. Otherwise, who's going to want it?",https://www.forbes.com/profile/charles-koch/?list=billionaires
21,Julia Koch & family,,60,Koch Industries,1,2,"New York, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas","https://imageio.forbes.com/specials-images/imageserve/5e7bbaaa10380d0006fc154e/0x0.jpg?format=jpg&crop=5196,5196,x0,y0,safe&height=416&width=416&fit=bounds",$63.4B,$60B,,,,,,,,,,,,,,,,,,,,,,$38.2B,$46.4B,$60B,,https://www.forbes.com/profile/julia-koch/?list=billionaires
22,Amancio Ortega,,86,"Zara, Self Made",,,"La Coruna, Spain",Spain,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5c76b94131358e35dd27748e/0x0.jpg?format=jpg&crop=2053,2053,x179,y216,safe&height=416&width=416&fit=bounds",$59.4B,$59.6B,,,,,,,,,,,,,,,$57B,$64B,$64.5B,$67B,$71.3B,$70B,$62.7B,$55.1B,$77B,$59.6B,"In the street, I only want to be recognized by my family, my friends and people I work with.",https://www.forbes.com/profile/amancio-ortega/?list=billionaires
23,Amancio Ortega,,86,"Zara, Self Made",,,"La Coruna, Spain",Spain,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5c76b94131358e35dd27748e/0x0.jpg?format=jpg&crop=2053,2053,x179,y216,safe&height=416&width=416&fit=bounds",$59.4B,$59.6B,,,,,,,,,,,,,,,$57B,$64B,$64.5B,$67B,$71.3B,$70B,$62.7B,$55.1B,$77B,$59.6B,"In the street, I only want to be recognized by my family, my friends and people I work with.",https://www.forbes.com/profile/amancio-ortega/?list=billionaires
24,Zhang Yiming,"Founder, ByteDance",38,"TikTok, Self Made",,,"Beijing, China",China,,,"Bachelor of Engineering, Nankai University","https://imageio.forbes.com/specials-images/imageserve/618e91e427fcd6441f93c0c6/0x0.jpg?format=jpg&crop=1067,1066,x227,y14,safe&height=416&width=416&fit=bounds",$49.5B,$50B,,,,,,,,,,,,,,,,,,,,$4B,$16.2B,$16.2B,$35.6B,$50B,,https://www.forbes.com/profile/zhang-yiming/?list=billionaires
25,David Thomson & family,"Chairman, Thomson Reuters Corporation",64,media,,,"Toronto, Canada",Canada,Divorced,4,"Master of Arts, University of Cambridge","https://imageio.forbes.com/specials-images/imageserve/5a7ba72aa7ea43169012f1b4/0x0.jpg?format=jpg&crop=2250,2250,x1065,y60,safe&height=416&width=416&fit=bounds",$47.4B,$49.2B,,,,,,,,,,,,,,,$20.3B,$22.6B,$25.5B,$23.8B,$27.2B,$25B,$32.5B,$31.6B,$41.8B,$49.2B,,https://www.forbes.com/profile/david-thomson/?list=billionaires
26,Phil Knight & family,"Chairman, Nike",84,"Nike, Self Made",8,2,"Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon","https://imageio.forbes.com/specials-images/imageserve/5a8d930431358e4955adf1bb/0x0.jpg?format=jpg&crop=948,949,x1457,y17,safe&height=416&width=416&fit=bounds",$46B,$47.3B,,,,,,,,,,,,,,,$14.4B,$18.4B,$21.5B,$24.4B,$26.2B,$29.6B,$33.4B,$29.5B,$49.9B,$47.3B,It is hard enough out there. Get all the help you can. Getting help really is just a part of that lifelong search for wisdom.,https://www.forbes.com/profile/phil-knight/?list=billionaires
27,Dieter Schwarz,,82,retail,,,"Neckarsulm, Germany",Germany,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$37B,$47.1B,,,,,,,,,,,,,,,$19.5B,$21.1B,$19.4B,$16.4B,$17B,$20.9B,$22.6B,$19.8B,$36.9B,$47.1B,,https://www.forbes.com/profile/dieter-schwarz/?list=billionaires
28,Robin Zeng,,53,"batteries, Self Made",,,"Ningde, China",Hong Kong,,,"Doctorate, Chinese Academy of Social Sciences","https://imageio.forbes.com/specials-images/imageserve/6067bcb1bfd36aed75c0c223/0x0.jpg?format=jpg&crop=1061,1061,x19,y19,safe&height=416&width=416&fit=bounds",$36.7B,$44.8B,,,,,,,,,,,,,,,,,,,,$1.9B,$6.8B,$9.7B,$28.4B,$44.8B,,https://www.forbes.com/profile/robin-zeng/?list=billionaires
29,MacKenzie Scott,Philanthropist ,52,Amazon,3,4,"Seattle, Washington",United States,Married,4,"Bachelor of Arts/Science, Princeton University","https://imageio.forbes.com/specials-images/imageserve/61ae9e9ff0382e22173e1903/0x0.jpg?format=jpg&crop=782,783,x343,y137,safe&height=416&width=416&fit=bounds",$36B,$43.6B,,,,,,,,,,,,,,,,,,,,,,$36B,$53B,$43.6B,,https://www.forbes.com/profile/mackenzie-scott/?list=billionaires
30,Rodolphe Saadé & family,"Chairman and CEO, CMA CGM",52,shipping,,,"Marseille, France",France,,,"Bachelor of Arts/Science, Concordia University","https://imageio.forbes.com/specials-images/imageserve/5e75a5ce10380d0006fbaa1b/0x0.jpg?format=jpg&crop=1379,1378,x249,y16,safe&height=416&width=416&fit=bounds",$41.4B,$41.4B,,,,,,,,,,,,,,,,,,,,,$10.5B,$7B,$10.9B,$41.4B,,https://www.forbes.com/profile/rodolphe-saade/?list=billionaires
31,François Pinault & family,,85,"luxury goods, Self Made",,,"Paris, France",France,Married,3,"Drop Out, High School","https://imageio.forbes.com/specials-images/imageserve/5f1eeca8e77f92a058fb1a81/0x0.jpg?format=jpg&crop=2095,2097,x1806,y36,safe&height=416&width=416&fit=bounds",$36.7B,$40.4B,,,,,,,,,,,,,,,$15B,$15.5B,$14.9B,$11.5B,$15.7B,$27B,$29.7B,$27B,$42.3B,$40.4B,,https://www.forbes.com/profile/francois-pinault/?list=billionaires
32,Klaus-Michael Kuehne,,85,shipping,,,"Schindellegi, Switzerland",Germany,Married,,,"https://imageio.forbes.com/specials-images/imageserve/5e762e4fc7b02d000666c89b/0x0.jpg?format=jpg&crop=3349,3347,x792,y0,safe&height=416&width=416&fit=bounds",$40.1B,$37.3B,,,,,,,,,,,,,,,$9B,$10.4B,$11.9B,$10B,$12.4B,$15.3B,$12.9B,$14.2B,$26.3B,$37.3B,"[Hamburger Sport Verein] is enormously close to my heart. I have been a fan from childhood, and I watch every match on television.",https://www.forbes.com/profile/klaus-michael-kuehne/?list=billionaires
33,Ma Huateng,"Chairman and CEO, Tencent Holdings",50,"internet media, Self Made",,,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Shenzhen University","https://imageio.forbes.com/specials-images/imageserve/605e23c0f0986f688fbd3e15/0x0.jpg?format=jpg&crop=1080,1080,x0,y0,safe&height=416&width=416&fit=bounds",$37.8B,$37.2B,,,,,,,,,,,,,,,$6.8B,$13.4B,$16.1B,$16.6B,$24.9B,$45.3B,$38.8B,$38.1B,$65.8B,$37.2B,,https://www.forbes.com/profile/ma-huateng/?list=billionaires
34,Beate Heister & Karl Albrecht Jr. & family,,,supermarkets,,,Germany,Germany,,,,"https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$36.5B,$36.8B,,,,,,,,,,,,,,,,,$21.3B,$25.9B,$27.2B,$29.8B,$36.1B,$33.3B,$39.2B,$36.8B,,https://www.forbes.com/profile/beate-heister-karl-albrecht-jr/?list=billionaires
35,Giovanni Ferrero,,57,"Nutella, chocolates",4,,"Brussels, Belgium",Italy,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/5b11bc5ca7ea436b547f29cb/0x0.jpg?format=jpg&crop=1222,1221,x622,y361,safe&height=416&width=416&fit=bounds",$35.4B,$36.2B,,,,,,,,,,,,,,,,,,,,$23B,$22.4B,$24.5B,$35.1B,$36.2B,"I strongly believe that attention to employees' needs, to their families, to their life even when they quit working, cements a social cohesion that is mutually beneficial. ",https://www.forbes.com/profile/giovanni-ferrero/?list=billionaires
36,Li Ka-shing,"Senior Advisor, CK Hutchison Holdings",93,"diversified, Self Made",,,Hong Kong,Hong Kong,Widowed,2,"Drop Out, High School","https://imageio.forbes.com/specials-images/imageserve/60351d9a688e1407617b2595/0x0.jpg?format=jpg&crop=694,694,x1341,y411,safe&height=416&width=416&fit=bounds",$37.2B,$34.8B,,,,,,,,,,,,,,,$31B,$31B,$33.3B,$27.1B,$31.2B,$34.9B,$31.7B,$21.7B,$33.7B,$34.8B,"The burden of poverty and this bitter taste of helplessness and isolation sort of branded on my heart forever the questions that still drive me. 
",https://www.forbes.com/profile/li-ka-shing/?list=billionaires
37,Stephen Schwarzman,"Chairman and CEO, Blackstone Group",75,"investments, Self Made",8,2,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University","https://imageio.forbes.com/specials-images/imageserve/5d89f4d318444200084e5265/0x0.jpg?format=jpg&crop=3394,3392,x1911,y26,safe&height=416&width=416&fit=bounds",$34.9B,$34.8B,,,,,,,,,,,,,,,$6.5B,$10B,$12B,$9.5B,$11.8B,$12.6B,$13.2B,$15.4B,$21.9B,$34.8B,,https://www.forbes.com/profile/stephen-schwarzman/?list=billionaires
38,Lee Shau Kee,,94,"real estate, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Divorced,5,,"https://imageio.forbes.com/specials-images/imageserve/605e29dee450fb635e9d9140/0x0.jpg?format=jpg&crop=1080,1080,x0,y0,safe&height=416&width=416&fit=bounds",$33.2B,$32.6B,,,,,,,,,,,,,,,$20.3B,$19.6B,$24.8B,$21.5B,$24.4B,$30.3B,$30.1B,$28.1B,$31.7B,$32.6B,"When I was young, business came first, then wealth, then health and finally family. Now it's health first, then family, then my business and lastly wealth.",https://www.forbes.com/profile/lee-shau-kee/?list=billionaires
39,Len Blavatnik,,65,"music, chemicals, Self Made",9,2,"London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University","https://imageio.forbes.com/specials-images/imageserve/5c745d7b4bbe6f072958dac9/0x0.jpg?format=jpg&crop=1630,1630,x473,y123,safe&height=416&width=416&fit=bounds",$31.5B,$32.5B,,,,,,,,,,,,,,,$16B,$18.7B,$20.2B,$15.3B,$20B,$20.2B,$17.7B,$17B,$32B,$32.5B,,https://www.forbes.com/profile/len-blavatnik/?list=billionaires
40,Jacqueline Mars,,82,"candy, pet food",2,,"The Plains, Virginia",United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College","https://imageio.forbes.com/specials-images/imageserve/59d50d06a7ea436b47b36d84/0x0.jpg?format=jpg&crop=1502,1502,x147,y377,safe&height=416&width=416&fit=bounds",$32.6B,$31.7B,,,,,,,,,,,,,,,$17B,$20B,$26.6B,$23.4B,$27B,$23.6B,$23.9B,$24.7B,$31.3B,$31.7B,,https://www.forbes.com/profile/jacqueline-mars/?list=billionaires
41,John Mars,,86,"candy, pet food",2,,"Jackson, Wyoming",United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University","https://imageio.forbes.com/specials-images/imageserve/5ba41e08a7ea434e4c6948eb/0x0.jpg?format=jpg&crop=1348,1348,x53,y9,safe&height=416&width=416&fit=bounds",$32.6B,$31.7B,,,,,,,,,,,,,,,$17B,$20B,$26.6B,$23.4B,$27B,$23.6B,$23.9B,$24.7B,$31.3B,$31.7B,,https://www.forbes.com/profile/john-mars/?list=billionaires
42,Alain Wertheimer,,73,Chanel,,,"New York, New York",France,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/6038217dfcc7547219c6da2b/0x0.jpg?format=jpg&crop=1369,1369,x91,y172,safe&height=416&width=416&fit=bounds",$29.9B,$31.2B,,,,,,,,,,,,,,,,$9B,$9.5B,$11B,$11.8B,$13B,$14.6B,$17.1B,$34.5B,$31.2B,,https://www.forbes.com/profile/alain-wertheimer/?list=billionaires
43,Gerard Wertheimer,,71,Chanel,,,"New York, New York",France,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/5e759fd2c7b02d000666c44e/0x0.jpg?format=jpg&crop=1357,1357,x39,y18,safe&height=416&width=416&fit=bounds",$29.9B,$31.2B,,,,,,,,,,,,,,,$8B,$9B,$9.5B,$11B,$11.8B,$13B,$14.6B,$17.1B,$34.5B,$31.2B,,https://www.forbes.com/profile/gerard-wertheimer-1/?list=billionaires
44,German Larrea Mota Velasco & family,,68,mining,,,"Mexico City, Mexico",Mexico,Married,,,"https://imageio.forbes.com/specials-images/imageserve/597a47174bbe6f3eb800b6b8/0x0.jpg?format=jpg&crop=1702,1701,x1901,y368,safe&height=416&width=416&fit=bounds",$29B,$30.8B,,,,,,,,,,,,,,,$16.7B,$14.7B,$13.9B,$9.2B,$13.8B,$17.3B,$13.3B,$11B,$25.9B,$30.8B,,https://www.forbes.com/profile/german-larrea-mota-velasco/?list=billionaires
45,Gina Rinehart,"Executive Chairman, Hancock Prospecting",68,mining,,,"Perth, Australia",Australia,Widowed,4,,"https://imageio.forbes.com/specials-images/imageserve/5c794b404bbe6f659da9afee/0x0.jpg?format=jpg&crop=2067,2067,x231,y485,safe&height=416&width=416&fit=bounds",$29.6B,$30.2B,,,,,,,,,,,,,,,$17B,$17.7B,$12.3B,$8.8B,$15B,$17.4B,$15.2B,$13.1B,$23.6B,$30.2B,,https://www.forbes.com/profile/gina-rinehart/?list=billionaires
46,Shiv Nadar,,76,"software services, Self Made",,,"Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology","https://imageio.forbes.com/specials-images/imageserve/605e2b0c7cd0a7025abd3e15/0x0.jpg?format=jpg&crop=1080,1080,x0,y0,safe&height=416&width=416&fit=bounds",$24.7B,$28.7B,,,,,,,,,,,,,,,$6.5B,$11.1B,$14.8B,$11.1B,$12.3B,$14.6B,$14.6B,$11.9B,$23.5B,$28.7B,"I came from a rural background, but I did alright.",https://www.forbes.com/profile/shiv-nadar/?list=billionaires
47,Jim Simons,"Founder, Renaissance Technologies Corp.",84,"hedge funds, Self Made",8,3,"East Setauket, New York",United States,Married,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley","https://imageio.forbes.com/specials-images/imageserve/5d8bd8326de3150009a51efb/0x0.jpg?format=jpg&crop=1209,1208,x1332,y0,safe&height=416&width=416&fit=bounds",$28.6B,$28.6B,,,,,,,,,,,,,,,$11.7B,$12.5B,$14B,$15.5B,$18B,$20B,$21.5B,$21.6B,$24.6B,$28.6B,,https://www.forbes.com/profile/jim-simons/?list=billionaires
48,He Xiangjian,,79,"home appliances, Self Made",,,"Foshan, China",China,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5f88aa3c6e0f7a6ca036fc64/0x0.jpg?format=jpg&crop=1105,1105,x1462,y1200,safe&height=416&width=416&fit=bounds",$24.6B,$28.3B,,,,,,,,,,,,,,,$3.1B,$7.1B,$9.9B,$9B,$12.3B,$20.1B,$19.8B,$21.6B,$37.7B,$28.3B,,https://www.forbes.com/profile/he-xiangjian/?list=billionaires
