Item Number,Qty,Description,Condition,Price,Location,Quick/Bid,Image
76815,1,Dell Optiflex 5050,FAIR,$90.00,EA,Quick,
76816,1,Dell Optiflex 5050,FAIR,$90.00,EA,Quick,
76847,4,Desisti De-Lux-2 Model 4600 Stage/Studio Light,FAIR,$320.00,EA,Bid,Image
76846,12,Desisti Giotto Model 4130 Stage/Studio Light,FAIR,$160.00,EA,Bid,Image
76849,6,Desisti Leonardo Model 310 Stage/Studio Light,FAIR,$150.00,EA,Bid,Image
76848,2,Desisti Leonardo Model 320 1000W Light Stage/Studio,FAIR,$200.00,EA,Bid,Image
76845,6,Desisti Magis Model 300. 60W Stage/Studio Light,FAIR,$125.00,EA,Bid,Image
76141,1,Dual Drawer Toast Master,GOOD,$180.00,EA,Quick,Image
76139,1,Duke Tray Warmer,GOOD,$243.75,EA,Quick,Image
75973,5,Electronics Vacuum,FAIR,$6.25,EA,Quick,
75706,1,Epson Receipt Printer TM-H6000IV,GOOD,$50.00,EA,Quick,Image
76844,1,Expandable conveyor,FAIR,$187.50,EA,Quick,Image
76174,1,Financial Accounting: Tools for Business Decision Making,GOOD,$1.25,EA,Quick,Image
76140,1,Fry Catch Basin,GOOD,$118.75,EA,Quick,Image
75413,1,Fujinon XS8X4ASXB8 Wide angle zoom lens for So PMW-EX3,UNKNOWN,$150.00,EA,Quick,
75278,1,GO AIR JLAB WIRELESS EARBUDS with charging,GOOD,$3.75,EA,Quick,Image
58571,43,Gray RCA Audio,VARIES,$1.00,EA,Quick,Image
74608,1,Gray Small Bucket,GOOD,$0.75,EA,Quick,Image
75341,1,Gray Wheel lift model wl30,EXCELLENT,"$3,995.00",EA,Bid,
76161,1,Grey and Black Jacket,GOOD,$0.75,EA,Quick,Image
75327,1,Grey BYU-I Winter Hat,GOOD,$0.50,EA,Quick,Image
76313,1,Hanging projector scissor lift,POOR,$50.00,EA,Quick,
75970,6,Hard Drive Enclosure,FAIR,$3.75,EA,Quick,
76246,1,HP ProDesk G1,FAIR,$15.00,EA,Quick,
72628,1,"Hydraulic  Reservoir  with cart    reservoir dims. 22"" wide    18"" deep    20"" high",GOOD,$50.00,UT,Quick,Image
76135,1,Ice Dispenser,GOOD,$768.75,EA,Quick,Image
73161,1,iClicker Base Station,POOR,$0.50,AMT,Quick,Image
75299,1,iPad or Tablet Otterbox case,GOOD,$1.25,EA,Quick,Image
75312,1,JLab Audio Go Air True Wireless Earbuds + Charging Case (Does not include right earbud),GOOD,$2.50,EA,Quick,Image
74699,1,Just One You Made by Carter's 6M Swimming Shirt Grey,GOOD,$0.75,EA,Quick,Image
74545,1,Knit Gray Beanie,GOOD,$0.75,EA,Quick,Image
76752,1,Labconco Paramount Filtered Enclosure stand,EXCELLENT,$750.00,AMT,Quick,Image
52303,2,LAPTOP - Small AC Adaptors,FAIR,$5.00,EA,Quick,Image
52304,29,Large AC Adaptors,FAIR,$15.00,EA,Quick,Image
75292,1,"Man Swimming Shorts Brand: Speedo Size M and (Blue, white, Grey)",GOOD,$0.75,EA,Quick,Image
76685,1,Milnor 55LB commercial washing machine,FAIR,$400.00,EA,Quick,Image
76686,1,Milnor 55LB commercial washing machine,FAIR,$400.00,EA,Quick,Image
76048,1,mop bucket,UNKNOWN,$0.75,EA,Quick,
76843,1,Morgana Digifold Pro Folding/Scoring Machine,FAIR,"$7,500.00",EA,Quick,Image
74536,1,Nike Biker Shorts Size 36 Black and Grey,GOOD,$0.75,EA,Quick,Image
75321,1,Nike Black Jacket Size L,GOOD,$1.75,EA,Quick,Image
75296,1,Nike Woman Swimming Suit (Blue Navy) Size 34,GOOD,$0.75,EA,Quick,Image
75376,1,OIC 2 unit stackable Wall File System,EXCELLENT,$3.00,EA,Quick,
75974,1,Old Monitor,FAIR,$2.50,EA,Quick,
75707,1,Opticon Optical Scanner,UNKNOWN,$12.50,EA,Quick,Image
76197,1,Organic Chemistry Student Solutions,GOOD,$1.25,EA,Quick,Image
75281,1,ORO Traditional Domed Gold-Plated Tungsten Carbide Wedding Ring SIZE 11 OR 12,GOOD,$16.25,EA,Quick,Image
75969,6,PCI Express Enclosure,FAIR,$37.50,EA,Quick,
75310,1,Pink sunglasses,GOOD,$0.50,EA,Quick,Image
76129,1,Pioneer DVD Player (DV-606D),FAIR,$3.75,EA,Quick,
75287,1,Plastic Water Bottle 16OZ Gray Lid,GOOD,$0.50,EA,Quick,Image
76184,1,Policy Analysis and Program Evaluation,GOOD,$1.25,EA,Quick,Image
58227,101,RCA Audio cables,VARIES,$1.00,EA,Quick,
73006,2,Red Sylvania fluorescent light bulb,GOOD,$2.50,EA,Quick,Image
76164,1,Shorts,GOOD,$0.50,EA,Quick,Image
74274,1,Silver Ring with Stars Around It Size 10,GOOD,$0.25,EA,Quick,Image
75323,1,Simple Modern Midnight Black Summit Water Bottle with Flip Lid,GOOD,$0.75,EA,Quick,Image
76136,1,Single Pan Cold Well Drop In for Cabinet,GOOD,$62.50,EA,Quick,Image
75313,1,Skullcandy Earbuds with Mic - Red and Grey,GOOD,$1.25,EA,Quick,Image
75686,17,Softball Uniforms - Navy,GOOD,$1.25,EA,Quick,Image
76257,18,Sold by the case furnace filters,EXCELLENT,$8.00,EA,Quick,
76103,1,speaker stands & bag,FAIR,$1.25,EA,Quick,Image
75693,1,Sports O Zone Machine,GOOD,$500.00,EA,Quick,Image
75282,1,Square Large Earings,GOOD,$0.25,EA,Quick,Image
75322,1,Stars golden bracelet,GOOD,$0.12,EA,Quick,Image
76081,1,study carol,FAIR,$1.25,EA,Quick,Image
75432,1,Tango 24; 24-bit converter system,FAIR,$75.00,EA,Quick,
75288,1,TUMBLER METAL CUP (Gray. 20 OZ),GOOD,$0.75,EA,Quick,Image
74529,1,UNCSW Blue Shirt Size M,GOOD,$0.75,EA,Quick,Image
74385,1,Urban Expressions Gold Crossbody Bag,GOOD,$0.50,EA,Quick,Image
52769,59,VGA Cables,GOOD,$1.00,EA,Quick,Image
74697,1,White Neewer 2.4 GHz Wireless Remote in box original,EXCELLENT,$1.25,EA,Quick,Image
75683,10,Wrestling Singlet,GOOD,$1.25,EA,Quick,Image
75682,14,Wrestling Singlet,GOOD,$1.25,EA,Quick,Image
75306,1,Zeroxposur Jacket for Man Size XXL (Black),GOOD,$1.75,EA,Quick,Image
 , , , , , , , 
