,URL
101,https://www.forbes.com/profile/gianluigi-rafaela-aponte/?list=billionaires
102,https://www.forbes.com/profile/david-tepper/?list=billionaires
103,https://www.forbes.com/profile/renata-kellnerova/?list=billionaires
104,https://www.forbes.com/profile/john-menard-jr/?list=billionaires
105,https://www.forbes.com/profile/kumar-birla/?list=billionaires
106,https://www.forbes.com/profile/carl-icahn/?list=billionaires
107,https://www.forbes.com/profile/hank-doug-meijer/?list=billionaires
108,https://www.forbes.com/profile/lukas-walton/?list=billionaires
109,https://www.forbes.com/profile/laurene-powell-jobs/?list=billionaires
110,https://www.forbes.com/profile/james-ratcliffe/?list=billionaires
111,https://www.forbes.com/profile/donald-bren/?list=billionaires
112,https://www.forbes.com/profile/xu-hang/?list=billionaires
113,https://www.forbes.com/profile/lu-xiangyang/?list=billionaires
114,https://www.forbes.com/profile/dilip-shanghvi/?list=billionaires
115,https://www.forbes.com/profile/wei-jianjun/?list=billionaires
116,https://www.forbes.com/profile/jorge-paulo-lemann/?list=billionaires
117,https://www.forbes.com/profile/eyal-ofer/?list=billionaires
118,https://www.forbes.com/profile/mike-cannon-brookes/?list=billionaires
119,https://www.forbes.com/profile/wu-yajun/?list=billionaires
120,https://www.forbes.com/profile/charlene-de-carvalho-heineken/?list=billionaires
121,https://www.forbes.com/profile/michael-platt/?list=billionaires
122,https://www.forbes.com/profile/pavel-durov/?list=billionaires
123,https://www.forbes.com/profile/scott-farquhar/?list=billionaires
124,https://www.forbes.com/profile/pallonji-mistry/?list=billionaires
125,https://www.forbes.com/profile/dang-yanbao/?list=billionaires
126,https://www.forbes.com/profile/robert-pera/?list=billionaires
127,https://www.forbes.com/profile/donald-newhouse/?list=billionaires
128,https://www.forbes.com/profile/uday-kotak/?list=billionaires
129,https://www.forbes.com/profile/aliko-dangote/?list=billionaires
130,https://www.forbes.com/profile/leonid-mikhelson/?list=billionaires
131,https://www.forbes.com/profile/sunil-mittal/?list=billionaires
132,https://www.forbes.com/profile/robert-philip-ng/?list=billionaires
133,https://www.forbes.com/profile/liu-hanyuan/?list=billionaires
134,https://www.forbes.com/profile/joseph-lau/?list=billionaires
135,https://www.forbes.com/profile/anders-holch-povlsen/?list=billionaires
136,https://www.forbes.com/profile/dhanin-chearavanont/?list=billionaires
137,https://www.forbes.com/profile/gong-hongjia/?list=billionaires
138,https://www.forbes.com/profile/liu-yongxing/?list=billionaires
139,https://www.forbes.com/profile/alexey-mordashov/?list=billionaires
140,https://www.forbes.com/profile/wang-jianlin/?list=billionaires
141,https://www.forbes.com/profile/david-duffield/?list=billionaires
142,https://www.forbes.com/profile/li-zhenguo-1/?list=billionaires
143,https://www.forbes.com/profile/harry-triguboff/?list=billionaires
144,https://www.forbes.com/profile/zhang-zhidong/?list=billionaires
145,https://www.forbes.com/profile/chen-bang/?list=billionaires
146,https://www.forbes.com/profile/john-doerr/?list=billionaires
147,https://www.forbes.com/profile/hinduja/?list=billionaires
148,https://www.forbes.com/profile/kwong-siu-hing/?list=billionaires
149,https://www.forbes.com/profile/pei-zhenhua-1/?list=billionaires
150,https://www.forbes.com/profile/ricardo-salinas-pliego/?list=billionaires
151,https://www.forbes.com/profile/jim-pattison/?list=billionaires
152,https://www.forbes.com/profile/charles-schwab/?list=billionaires
153,https://www.forbes.com/profile/goh-cheng-liang/?list=billionaires
154,https://www.forbes.com/profile/lin-jianhua/?list=billionaires
155,https://www.forbes.com/profile/charoen-sirivadhanabhakdi/?list=billionaires
156,https://www.forbes.com/profile/jeff-yass/?list=billionaires
157,https://www.forbes.com/profile/john-fredriksen/?list=billionaires
158,https://www.forbes.com/profile/andreas-struengmann/?list=billionaires
159,https://www.forbes.com/profile/thomas-struengmann/?list=billionaires
160,https://www.forbes.com/profile/mikhail-fridman/?list=billionaires
161,https://www.forbes.com/profile/sarath-ratanavadi/?list=billionaires
162,https://www.forbes.com/profile/robert-kuok/?list=billionaires
163,https://www.forbes.com/profile/lei-jun/?list=billionaires
164,https://www.forbes.com/profile/zhang-congyuan/?list=billionaires
165,https://www.forbes.com/profile/lui-che-woo/?list=billionaires
166,https://www.forbes.com/profile/brian-chesky/?list=billionaires
167,https://www.forbes.com/profile/israel-englander/?list=billionaires
168,https://www.forbes.com/profile/dustin-moskovitz/?list=billionaires
169,https://www.forbes.com/profile/alisher-usmanov/?list=billionaires
170,https://www.forbes.com/profile/jay-chaudhry/?list=billionaires
171,https://www.forbes.com/profile/anthony-pratt/?list=billionaires
172,https://www.forbes.com/profile/colin-zheng-huang/?list=billionaires
173,https://www.forbes.com/profile/jin-baofang/?list=billionaires
174,https://www.forbes.com/profile/pierre-omidyar/?list=billionaires
175,https://www.forbes.com/profile/gennady-timchenko/?list=billionaires
176,https://www.forbes.com/profile/carl-cook/?list=billionaires
177,https://www.forbes.com/profile/andrey-melnichenko/?list=billionaires
178,https://www.forbes.com/profile/xing-wang/?list=billionaires
179,https://www.forbes.com/profile/philip-anschutz/?list=billionaires
180,https://www.forbes.com/profile/david-cheriton/?list=billionaires
181,https://www.forbes.com/profile/alexander-otto/?list=billionaires
182,https://www.forbes.com/profile/diane-hendricks/?list=billionaires
183,https://www.forbes.com/profile/stanley-kroenke/?list=billionaires
184,https://www.forbes.com/profile/jerry-jones/?list=billionaires
185,https://www.forbes.com/profile/quek-leng-chan/?list=billionaires
186,https://www.forbes.com/profile/eduardo-saverin/?list=billionaires
187,https://www.forbes.com/profile/vagit-alekperov/?list=billionaires
188,https://www.forbes.com/profile/richard-liu-1/?list=billionaires
189,https://www.forbes.com/profile/idan-ofer/?list=billionaires
190,https://www.forbes.com/profile/melker-schorling/?list=billionaires
191,https://www.forbes.com/profile/chase-coleman-iii/?list=billionaires
192,https://www.forbes.com/profile/shuirong-li/?list=billionaires
193,https://www.forbes.com/profile/stefano-pessina/?list=billionaires
194,https://www.forbes.com/profile/mikhail-prokhorov/?list=billionaires
195,https://www.forbes.com/profile/marcel-herrmann-telles/?list=billionaires
196,https://www.forbes.com/profile/leon-black/?list=billionaires
197,https://www.forbes.com/profile/joe-gebbia/?list=billionaires
198,https://www.forbes.com/profile/david-geffen/?list=billionaires
199,https://www.forbes.com/profile/yu-renrong/?list=billionaires
200,https://www.forbes.com/profile/andrew-beal/?list=billionaires
201,https://www.forbes.com/profile/george-kaiser/?list=billionaires
202,https://www.forbes.com/profile/qi-shi/?list=billionaires
203,https://www.forbes.com/profile/luis-carlos-sarmiento/?list=billionaires
204,https://www.forbes.com/profile/andreas-von-bechtolsheim/?list=billionaires
205,https://www.forbes.com/profile/jan-koum/?list=billionaires
206,https://www.forbes.com/profile/jorge-moll-filho/?list=billionaires
207,https://www.forbes.com/profile/azim-premji/?list=billionaires
208,https://www.forbes.com/profile/finn-rausing/?list=billionaires
209,https://www.forbes.com/profile/jorn-rausing/?list=billionaires
210,https://www.forbes.com/profile/kirsten-rausing/?list=billionaires
211,https://www.forbes.com/profile/wang-laisheng/?list=billionaires
212,https://www.forbes.com/profile/tom-judy-love/?list=billionaires
213,https://www.forbes.com/profile/john-collison/?list=billionaires
214,https://www.forbes.com/profile/patrick-collison/?list=billionaires
215,https://www.forbes.com/profile/gordon-moore/?list=billionaires
216,https://www.forbes.com/profile/wang-laichun/?list=billionaires
217,https://www.forbes.com/profile/graeme-hart/?list=billionaires
218,https://www.forbes.com/profile/zheng-shuliang/?list=billionaires
219,https://www.forbes.com/profile/cao-renxian/?list=billionaires
220,https://www.forbes.com/profile/nathan-blecharczyk/?list=billionaires
221,https://www.forbes.com/profile/james-dyson/?list=billionaires
222,https://www.forbes.com/profile/ivan-glasenberg/?list=billionaires
223,https://www.forbes.com/profile/kim-beom-su/?list=billionaires
224,https://www.forbes.com/profile/jay-y-lee/?list=billionaires
225,https://www.forbes.com/profile/liu-yonghao/?list=billionaires
226,https://www.forbes.com/profile/ann-walton-kroenke/?list=billionaires
227,https://www.forbes.com/profile/li-ping-1/?list=billionaires
228,https://www.forbes.com/profile/eric-wittouck/?list=billionaires
229,https://www.forbes.com/profile/ian-richard-livingstone/?list=billionaires
230,https://www.forbes.com/profile/friedhelm-loh/?list=billionaires
231,https://www.forbes.com/profile/xavier-niel/?list=billionaires
232,https://www.forbes.com/profile/michael-otto/?list=billionaires
233,https://www.forbes.com/profile/johann-rupert/?list=billionaires
234,https://www.forbes.com/profile/hui-ka-yan/?list=billionaires
235,https://www.forbes.com/profile/pauline-macmillan-keinath/?list=billionaires
236,https://www.forbes.com/profile/herbert-kohler-jr/?list=billionaires
237,https://www.forbes.com/profile/li-ge-1/?list=billionaires
